LATITUDE,LONGITUDE,JD
49,173,2460392.7971064816
31,167,2460392.8005787036
13,163,2460392.804050926
-4,159,2460392.807523148
-22,155,2460392.81099537
-40,150,2460392.8144675926
-58,143,2460392.8179398146
-75,123,2460392.821412037
-80,29,2460392.824884259
-65,-9,2460392.8283564816
-47,-19,2460392.8318287036
-29,-25,2460392.835300926
-11,-29,2460392.838773148
6,-33,2460392.84224537
24,-37,2460392.8457175926
42,-42,2460392.8491898146
60,-50,2460392.852662037
76,-74,2460392.856134259
78,-173,2460392.8596064816
62,155,2460392.8630787036
45,146,2460392.866550926
27,141,2460392.870023148
8,137,2460392.87349537
-9,133,2460392.8769675926
-27,129,2460392.8804398146
-45,124,2460392.883912037
-63,115,2460392.887384259
-78,84,2460392.8908564816
-76,-13,2460392.8943287036
-60,-37,2460392.897800926
-42,-46,2460392.901273148
-24,-51,2460392.90474537
-6,-55,2460392.9082175926
11,-58,2460392.9116898146
29,-63,2460392.915162037
47,-68,2460392.918634259
65,-78,2460392.9221064816
80,-117,2460392.9255787036
75,147,2460392.929050926
58,128,2460392.932523148
40,120,2460392.93599537
22,115,2460392.9394675926
3,111,2460392.9429398146
-14,108,2460392.946412037
-32,103,2460392.949884259
-50,97,2460392.9533564816
-67,86,2460392.9568287036
-81,34,2460392.960300926
-72,-49,2460392.963773148
-55,-65,2460392.96724537
-38,-72,2460392.9707175926
-20,-76,2460392.9741898146
-1,-80,2460392.977662037
16,-84,2460392.981134259
34,-89,2460392.9846064816
52,-95,2460392.9880787036
69,-108,2460392.991550926
82,-173,2460392.995023148
70,114,2460392.99849537
53,100,2460393.0019675926
35,94,2460393.0054398146
17,90,2460393.008912037
0,86,2460393.012384259
-19,82,2460393.0158564816
-37,77,2460393.0193287036
-55,71,2460393.022800926
-72,55,2460393.026273148
-81,-24,2460393.02974537
-68,-80,2460393.0332175926
-51,-92,2460393.0366898146
-33,-98,2460393.040162037
-15,-102,2460393.043634259
2,-106,2460393.0471064816
21,-110,2460393.0505787036
39,-115,2460393.054050926
57,-122,2460393.057523148
74,-140,2460393.06099537
80,129,2460393.0644675926
66,84,2460393.0679398146
48,74,2460393.071412037
30,68,2460393.074884259
12,64,2460393.0783564816
-5,60,2460393.0818287036
-24,56,2460393.085300926
-42,51,2460393.088773148
-59,43,2460393.09224537
-76,21,2460393.0957175926
-79,-75,2460393.0991898146
-63,-109,2460393.102662037
-46,-118,2460393.106134259
-28,-124,2460393.1096064816
-10,-128,2460393.1130787036
7,-132,2460393.116550926
25,-136,2460393.120023148
44,-141,2460393.12349537
61,-149,2460393.1269675926
78,-177,2460393.1304398146
77,83,2460393.133912037
61,56,2460393.137384259
43,47,2460393.1408564816
25,42,2460393.1443287036
7,38,2460393.147800926
-10,34,2460393.151273148
-28,30,2460393.15474537
-46,25,2460393.1582175926
-64,15,2460393.1616898146
-79,-20,2460393.165162037
-75,-116,2460393.168634259
-59,-137,2460393.1721064816
-41,-145,2460393.1755787036
-23,-150,2460393.179050926
-5,-154,2460393.182523148
12,-157,2460393.18599537
30,-162,2460393.1894675926
48,-167,2460393.1929398146
66,-178,2460393.196412037
81,136,2460393.199884259
73,46,2460393.2033564816
56,28,2460393.2068287036
38,21,2460393.210300926
20,16,2460393.213773148
2,12,2460393.21724537
-15,9,2460393.2207175926
-33,4,2460393.2241898146
-51,-1,2460393.227662037
-68,-13,2460393.231134259
-81,-73,2460393.2346064816
-71,-149,2460393.2380787036
-54,-164,2460393.241550926
-36,-171,2460393.245023148
-18,-175,2460393.24849537
0,-179,2460393.2519675926
17,176,2460393.2554398146
35,171,2460393.258912037
53,165,2460393.262384259
70,151,2460393.2658564816
81,77,2460393.2693287036
69,14,2460393.272800926
51,1,2460393.276273148
34,-4,2460393.27974537
15,-8,2460393.2832175926
-2,-12,2460393.2866898146
-20,-16,2460393.290162037
-38,-21,2460393.293634259
-56,-28,2460393.2971064816
-73,-45,2460393.3005787036
